id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1306749761628093525,"RARE Lakeview 5 Bedroom, 2 Bath, 10 person condo",409294517,1469868979466988738,Corey,,West End,30.019868066953652,-90.1149953523666,Entire home/apt,118,30,1,2025-10-18,0.20,3,262,1,
1306798686042506093,Cozy Lakeview 1 bedroom condo.,409294517,1469868979466988738,Corey,,Lakeshore - Lake Vista,30.020025169176456,-90.11429295939205,Entire home/apt,43,30,0,,,3,211,0,
1307270736778512053,New Marigny Bungalow,513447844,1470309351973832613,Hunter,,St. Claude,29.971136601510253,-90.04841526938976,Entire home/apt,198,1,66,2026-03-06,4.29,2,47,49,"23-CSTR-10286, 23-OSTR-08579"
1307456024691915641,"Maison Royal, Steps to French Quarter",45295887,1465672221137132588,Wallace,,Marigny,29.964291,-90.058435,Private room,113,1,39,2026-03-12,2.75,4,322,34,23-XSTR-09099
1307487179348083669,"Maison Royal, Heart of New Orleans",45295887,1465672221137132588,Wallace,,Marigny,29.964291,-90.058435,Private room,183,1,51,2026-02-22,3.42,4,318,43,23-XSTR-09099
1308063833882560555,BigEasy Escape!,666107723,1470671336126589435,Keno,,Dillard,29.99507,-90.06152,Entire home/apt,245,1,36,2026-03-08,2.42,1,221,31,"24-NSTR-18508, 24-OSTR-18109"
1308071075945449718,Refreshing New Home!,666195188,1470671561239589306,Pure Properties,,Gert Town,29.956060582222424,-90.10195254969477,Entire home/apt,75,30,1,2025-03-30,0.08,4,345,1,
1308790392656508667,"Spacious Combo Unit with Deck, Walk to FQ",664618805,1470667863084482275,The Theodore New Orleans,,Central Business District,29.9483984497183,-90.07259874968213,Entire home/apt,1476,2,0,,,22,289,0,23-XSTR-61437
1308856649313945332,"Iconic Mansion w/Private Pool & Spa, Walk Downtown",655959135,1470648278178827820,Metis NOLA,,Central City,29.9429876,-90.0764916,Entire home/apt,578,2,54,2026-03-12,3.72,12,256,48,"22-CSTR-06511, 24-OSTR-12885"
1309396976122105495,Historic NOLA 5BR:Prime Location,284544,1462514683371754859,Michael,,Marigny,29.9634058,-90.05386879999999,Entire home/apt,353,2,1,2026-02-20,1,11,280,1,24-XSTR-10026
1310085530001167820,Pet & Musician-Friendly in NOLA,34240272,1462664661263657001,Kendall,,Seventh Ward,29.975754128926987,-90.07335877402166,Entire home/apt,105,30,0,,,1,365,0,
1310164119956924640,Luxury in Nola: Best Location!,284544,1462514683371754859,Michael,,Marigny,29.9634058,-90.05386879999999,Entire home/apt,315,2,12,2026-02-25,0.86,11,204,10,24-XSTR-10026
1311094692897469727,French Quarter & JAZZ Fest Special,126429224,1468272690288422591,T-Lew,,Gentilly Woods,30.00619141122406,-90.03704592235195,Entire home/apt,934,30,0,,,1,108,0,"24NSTR-14966, 24OSTR-14966"
1311642277745339204,Location! Location! Location!,36485149,1465542479852205057,Gelana,,East Riverside,29.9211402953632,-90.08741794294872,Entire home/apt,62,30,0,,,1,261,0,
1312069656429851682,Historic Home short walk to Frenchmen & theQuarter,298377320,1469534583404889385,Renee,,Marigny,29.96644,-90.06149,Entire home/apt,329,2,8,2026-03-10,0.81,1,326,8,"23-nstr-15352, 24-ostr-09497"
1312540108058199207,4BR Group Trip 2 Blocks to Bourbon | Mayfair Hotel,561864785,1470508460661351716,The Mayfair,,Central Business District,29.95609,-90.0727,Entire home/apt,657,1,7,2025-10-05,0.53,40,322,6,25-XSTR-22300
